source_id,jurisdiction,discovery_source,legal_name,trade_names,address,postal,city,legal_form,charity_status,matched_bn,matched_cra_name,charity_match_score,charity_runner_up_score,charity_match_method,social_status,social_signal,social_match_score,federal_grant_status,matched_grant_entity_id,matched_grant_entity_name,federal_grant_match_score,federal_grant_runner_up_score,federal_grants_received,federal_dollars_received,review_flag,discovery_snapshot_date,cra_snapshot_date,grants_snapshot_date
15103649,ON,corporations_canada,Centre for Research and Higher Education Development (CRHED),,1915 Martin Grove,M9V3T2,"Etobicoke, Toronto",Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,49.31506849315068,,,,,,needs_review,263030,The Centre for Drug Research and Development (CDRD),76.54320987654322,76.54320987654322,2,80000000.0,mid_band_score,,,
15000572,ON,corporations_canada,Canadian Soccer Club Brampton,,55 Sled Dog Road,L6R0H8,Brampton,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,66.66666666666667,,,,,,needs_review,127260,CANADIAN SOCCER ASSOCIATION,76.92307692307692,76.92307692307692,28,29656422.0,mid_band_score,,,
14833601,AB,corporations_canada,BGCBIGS CHARITABLE FOUNDATION - A LEGACY FOR YOUTH,,"750, 10665 Jasper Avenue NW",T5J3S9,Edmonton,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,35.08771929824561,,,,,,needs_review,,,,,,,no_blocking_key,,,
15187257,ON,corporations_canada,ATAM Arts Collective,,96 Brock Ave,L6C0S7,Markham,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,57.89473684210527,,,,,,needs_review,,,,,,,no_blocking_key,,,
14752279,BC,corporations_canada,KYF Holistic Wellness Foundation,,3196 British Columbia 6,V0G2E0,Slocan Park,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,53.333333333333336,,,,,,needs_review,,,,,,,no_blocking_key,,,
13575560,ON,corporations_canada,Senior Pride Network Niagara,,315 Glendale Avenue,L2T2L7,St Catharines,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,49.27536231884058,,,,,,needs_review,347028,Senior Pride Network of Niagara (SPNN),91.80327868852459,83.33333333333334,1,31187.0,low_confidence_fuzzy_match,,,
14794800,ON,corporations_canada,The Henry Armstrong Award,,9-177 Main Street West,L3M1S1,Grimsby,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,49.056603773584904,,,,,,needs_review,177373,Henry Armstrong,83.33333333333334,62.5,1,3000.0,mid_band_score,,,
14963059,ON,corporations_canada,NPTechAdvisor,,285 Richler Drive,L6H5H1,Oakville,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,45.16129032258065,,,,,,needs_review,,,,,,,no_blocking_key,,,
12184028,ON,corporations_canada,Making Change SC,,880 Innisfil Beach Road,L9S2C2,Innisfil,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,45.16129032258065,,,,,,needs_review,217065,Making Changes,86.66666666666667,63.41463414634146,2,1267752.0,mid_band_score,,,
14878612,MB,corporations_canada,Godly Businessmen Network - GBN,,717 Sterling Lyon Parkway,R3P2V2,Winnipeg,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,41.7910447761194,,,,,,needs_review,,,,,,,no_blocking_key,,,
14959850,ON,corporations_canada,KMA Association,,3-175 Beverly Street,N1R7Y9,Cambridge,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,35.29411764705882,,,,,,needs_review,,,,,,,no_blocking_key,,,
14820886,ON,corporations_canada,Ashraful Aid Foundation Canada,,2045 Madrid Avenue,K2J0K1,Ottawa,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,43.24324324324324,,,,,,needs_review,217910,"Ashraf, Ahmed",75.0,61.53846153846154,1,298500.0,mid_band_score,,,
14837401,ON,corporations_canada,EXCELSTEAM,,7275 Waldorf Way,L5N7P8,Mississauga,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,50.0,,,,,,needs_review,135792,ExCellThera Inc.,76.19047619047619,73.6842105263158,5,5749832.0,mid_band_score,,,
10754277,QC,corporations_canada,10754277 CANADA ASSOCIATION,,7530 Rue de la Roche,H2R2T5,Montréal,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,0,,,,,,needs_review,124423,1075027 B.C. LTD.,80.0,62.5,1,15000.0,mid_band_score,,,
15002443,ON,corporations_canada,Rahma Aid,,22 Daylight Street,L7A4N5,Brampton,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,50.0,,,,,,needs_review,190754,"Rahman, Alvi A",80.0,80.0,1,105000.0,mid_band_score,,,
14752091,ON,corporations_canada,Utsav Cultural Association of London Ontario,,2770 Tokala Trail,N6G0P8,London,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,56.33802816901409,,,,,,needs_review,,,,,,,no_blocking_key,,,
15005876,ON,corporations_canada,Anhui Canadian Fellowship Association,,25 Melchior Crescent,L3R9A5,Markham,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,62.06896551724138,,,,,,needs_review,,,,,,,no_blocking_key,,,
14990536,ON,corporations_canada,Healthy Chimes,,18 Brenscombe Road,L7A5E7,Brampton,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,29.629629629629626,,,,,,needs_review,216425,Healthy Berries Ltd.,75.86206896551724,72.0,3,112095.0,mid_band_score,,,
14896076,ON,corporations_canada,World Health Research Foundation,,401-286 Sanford Avenue North,L8L6A1,Hamilton,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,38.297872340425535,,,,,,needs_review,97331,World Health Organization (WHO),75.67567567567568,72.72727272727273,3,15154616.0,mid_band_score,,,
14972163,ON,corporations_canada,Shield Association,,99 Mount Olive Drive,M9V2C9,Toronto,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,35.29411764705882,,,,,,needs_review,261299,Shield53 Inc.,85.71428571428572,70.58823529411764,1,30000.0,mid_band_score,,,
14817931,ON,corporations_canada,Gujarati Girls of Ottawa,,395 CRESTHAVEN DRIVE,K2G6Z4,OTTAWA,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,63.41463414634146,,,,,,needs_review,286292,GUJARATI CULTURAL ASSOCIATION OF OTTAWA (THE),80.0,54.54545454545454,3,13920.0,mid_band_score,,,
4510461,AB,corporations_canada,THE CANADIAN PAIN SOCIETY,,Suite 800,T3A5K8,Calgary,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,53.333333333333336,,,,,,needs_review,113151,CANADIAN TENPIN FEDERATION INC. / FÉDÉRATION CANADIENNE DES DIX-QUILLES INC.,85.71428571428572,84.61538461538461,9,436664.0,mid_band_score,,,
14941004,QC,corporations_canada,Canadian Institute for Existential Risk,Institut canadien du risque existentiel,2727 Rue Saint-Patrick,H3K0A8,Montréal,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,18.75,,,,,,needs_review,359338,Canadian Institute For Exponential Growth,77.5,71.42857142857143,1,9707540.0,mid_band_score,,,
13884741,ON,corporations_canada,Non-Resident Nepali Association (NRNA),,26 Bonny Lynn CRT,M1K3A4,Toronto,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,44.44444444444444,,,,,,needs_review,191691,Non-Resident Nepali Association,88.37209302325581,58.97435897435898,2,2955.0,mid_band_score,,,
15058864,ON,corporations_canada,Dribble Dreams Foundation,,408 Wettlaufer Terrace,L9T7N4,Milton,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,44.44444444444444,,,,,,needs_review,,,,,,,no_blocking_key,,,
14873319,ON,corporations_canada,BRAND FAMILY FOUNDATION,,65 Cedar Pointe Drive,L4N9R3,Barrie,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,42.42424242424242,,,,,,needs_review,212680,Brandy Farms Inc.,75.0,66.66666666666667,1,84478.45,mid_band_score,,,
9499920,ON,corporations_canada,Greater Ontario Hockey League Inc.,,279 Robin Road,N6J1S5,London,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,45.90163934426229,,,,,,needs_review,238860,Greater Toronto Hockey League,89.65517241379311,62.06896551724138,5,28596.0,mid_band_score,,,
14963610,NB,corporations_canada,konuko Sports,,81 Hillside Drive,E1A3S2,Moncton,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,41.379310344827594,,,,,,needs_review,,,,,,,no_blocking_key,,,
14786092,ON,corporations_canada,United Culture and Sports Association,,4727 Sheppard Avenue  Suite 403,M1S5B3,Toronto,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,43.13725490196079,,,,,,needs_review,111539,UNITED CULTURES OF CANADA ASSOCIATION,83.33333333333334,80.0,14,1213112.97,mid_band_score,,,
12503077,ON,corporations_canada,KIZ2KIZ ACADEMY,,21 Highbourne Road,M5P2J1,Toronto,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,48.64864864864865,,,,,,needs_review,,,,,,,no_blocking_key,,,
14727584,ON,corporations_canada,United Mx,,19280 Yonge Street,L9N1L5,Holland Landing,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,42.10526315789473,,,,,,needs_review,131822,THE UNITED CHURCH / L'ÉGLISE UNIE DU CANADA,80.0,80.0,2,38356.0,mid_band_score,,,
3745317,NS,corporations_canada,HARBOUR AUTHORITY OF BLANDFORD,,110 Upper Blandford Road,B0J1T0,Deep Cove,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,61.53846153846154,,,,,,needs_review,139683,Harbour Authority of Botsford,86.79245283018868,85.1063829787234,2,7728.0,mid_band_score,,,
15047111,ON,corporations_canada,M Ejaz Qasmi Association,,192 Chester Le Boulevard,M1W2M9,Toronto,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,40.0,,,,,,needs_review,,,,,,,no_blocking_key,,,
14929161,ON,corporations_canada,WhiteHouse Ministries,,81 Westlake Drive,N5P0B7,St. Thomas,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,49.056603773584904,,,,,,needs_review,271805,"Whitehouse, Christiane E",76.19047619047619,73.6842105263158,1,105000.0,mid_band_score,,,
9587977,ON,corporations_canada,KID Society,,800 Arrow Road,M9M2Z8,North York,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,11.111111111111116,,,,,,needs_review,,,,,,,no_blocking_key,,,
14818130,ON,corporations_canada,PKU TORONTO ALUMNI GOLF ASSOCIATION,,1390 Silversmith Drive,L6M2X4,Oakville,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,54.54545454545454,,,,,,needs_review,,,,,,,no_blocking_key,,,
